CMDLINE java nsquare
MEM 43.738281 1715853698.6110
MEM 43.738281 1715853698.7114
MEM 43.738281 1715853698.8118
MEM 43.738281 1715853698.9121
MEM 43.738281 1715853699.0125
MEM 43.738281 1715853699.1129
MEM 43.738281 1715853699.2133
MEM 43.738281 1715853699.3137
MEM 43.738281 1715853699.4141
MEM 43.738281 1715853699.5145
MEM 43.738281 1715853699.6149
MEM 43.738281 1715853699.7154
MEM 43.738281 1715853699.8158
MEM 43.738281 1715853699.9163
MEM 43.738281 1715853700.0168
MEM 43.738281 1715853700.1172
MEM 43.738281 1715853700.2176
MEM 43.738281 1715853700.3181
MEM 43.738281 1715853700.4185
MEM 43.738281 1715853700.5189
MEM 43.738281 1715853700.6194
MEM 43.738281 1715853700.7198
MEM 43.738281 1715853700.8201
MEM 43.738281 1715853700.9206
MEM 43.738281 1715853701.0210
MEM 43.738281 1715853701.1215
MEM 43.738281 1715853701.2219
MEM 43.738281 1715853701.3224
MEM 43.738281 1715853701.4229
MEM 43.738281 1715853701.5234
MEM 43.738281 1715853701.6239
MEM 43.738281 1715853701.7244
MEM 43.738281 1715853701.8249
MEM 43.738281 1715853701.9253
MEM 43.738281 1715853702.0258
MEM 43.738281 1715853702.1262
MEM 43.738281 1715853702.2266
MEM 43.738281 1715853702.3271
MEM 43.738281 1715853702.4276
MEM 43.738281 1715853702.5282
MEM 43.738281 1715853702.6287
MEM 43.738281 1715853702.7292
MEM 43.738281 1715853702.8324
MEM 43.738281 1715853702.9330
MEM 43.738281 1715853703.0335
MEM 43.738281 1715853703.1340
MEM 43.738281 1715853703.2345
MEM 43.738281 1715853703.3349
MEM 43.738281 1715853703.4354
MEM 43.738281 1715853703.5359
MEM 43.738281 1715853703.6364
MEM 43.738281 1715853703.7368
MEM 43.738281 1715853703.8373
MEM 43.738281 1715853703.9378
MEM 43.738281 1715853704.0383
MEM 43.738281 1715853704.1387
MEM 43.738281 1715853704.2392
MEM 43.738281 1715853704.3397
MEM 43.738281 1715853704.4402
MEM 43.738281 1715853704.5406
MEM 43.738281 1715853704.6411
MEM 43.738281 1715853704.7415
MEM 43.738281 1715853704.8419
MEM 43.738281 1715853704.9424
MEM 43.738281 1715853705.0428
MEM 43.738281 1715853705.1433
MEM 43.738281 1715853705.2438
MEM 43.738281 1715853705.3442
MEM 43.738281 1715853705.4447
MEM 43.738281 1715853705.5452
MEM 43.738281 1715853705.6457
MEM 43.738281 1715853705.7462
MEM 43.738281 1715853705.8466
MEM 43.738281 1715853705.9472
MEM 43.738281 1715853706.0477
MEM 43.738281 1715853706.1482
MEM 43.738281 1715853706.2486
MEM 43.738281 1715853706.3491
MEM 43.738281 1715853706.4496
MEM 43.738281 1715853706.5500
MEM 43.738281 1715853706.6504
MEM 43.738281 1715853706.7510
MEM 43.738281 1715853706.8514
MEM 43.738281 1715853706.9520
MEM 43.738281 1715853707.0525
MEM 43.738281 1715853707.1529
MEM 43.738281 1715853707.2534
MEM 43.738281 1715853707.3538
MEM 43.738281 1715853707.4543
MEM 43.738281 1715853707.5548
MEM 43.738281 1715853707.6553
MEM 43.738281 1715853707.7557
MEM 43.738281 1715853707.8562
MEM 43.738281 1715853707.9592
MEM 43.738281 1715853708.0597
MEM 43.738281 1715853708.1601
MEM 43.738281 1715853708.2605
MEM 43.738281 1715853708.3610
MEM 43.738281 1715853708.4614
MEM 43.738281 1715853708.5619
MEM 43.738281 1715853708.6624
MEM 43.738281 1715853708.7630
MEM 43.738281 1715853708.8635
MEM 43.738281 1715853708.9641
MEM 43.738281 1715853709.0646
MEM 43.738281 1715853709.1651
MEM 43.738281 1715853709.2657
MEM 43.738281 1715853709.3662
MEM 43.738281 1715853709.4667
MEM 43.738281 1715853709.5673
MEM 43.738281 1715853709.6678
MEM 43.738281 1715853709.7682
MEM 43.738281 1715853709.8687
MEM 43.738281 1715853709.9692
MEM 43.738281 1715853710.0698
MEM 43.738281 1715853710.1702
MEM 43.738281 1715853710.2707
MEM 43.738281 1715853710.3711
MEM 43.738281 1715853710.4715
MEM 43.738281 1715853710.5720
MEM 43.738281 1715853710.6725
MEM 43.738281 1715853710.7730
MEM 43.738281 1715853710.8735
MEM 43.738281 1715853710.9740
MEM 43.738281 1715853711.0746
MEM 43.738281 1715853711.1753
MEM 43.738281 1715853711.2759
MEM 43.738281 1715853711.3764
MEM 43.738281 1715853711.4769
MEM 43.738281 1715853711.5776
MEM 43.738281 1715853711.6782
MEM 43.738281 1715853711.7787
MEM 43.738281 1715853711.8792
MEM 43.738281 1715853711.9797
MEM 43.738281 1715853712.0802
MEM 43.738281 1715853712.1807
MEM 43.738281 1715853712.2811
MEM 43.738281 1715853712.3816
MEM 43.738281 1715853712.4820
MEM 43.738281 1715853712.5825
MEM 43.738281 1715853712.6829
MEM 43.738281 1715853712.7834
MEM 43.738281 1715853712.8840
MEM 43.738281 1715853712.9845
MEM 43.738281 1715853713.0879
MEM 43.738281 1715853713.1885
MEM 43.738281 1715853713.2889
MEM 43.738281 1715853713.3894
MEM 43.738281 1715853713.4898
MEM 43.738281 1715853713.5905
MEM 43.738281 1715853713.6910
MEM 43.738281 1715853713.7915
MEM 43.738281 1715853713.8921
MEM 43.738281 1715853713.9926
MEM 43.738281 1715853714.0931
MEM 43.738281 1715853714.1936
MEM 43.738281 1715853714.2942
MEM 43.738281 1715853714.3947
MEM 43.738281 1715853714.4952
MEM 43.738281 1715853714.5958
MEM 43.738281 1715853714.6962
MEM 43.738281 1715853714.7967
MEM 43.738281 1715853714.8972
MEM 43.738281 1715853714.9978
MEM 43.738281 1715853715.0983
MEM 43.738281 1715853715.1988
MEM 43.738281 1715853715.2994
MEM 43.738281 1715853715.3999
MEM 43.738281 1715853715.5005
MEM 43.738281 1715853715.6010
MEM 43.738281 1715853715.7015
MEM 43.738281 1715853715.8020
MEM 43.738281 1715853715.9024
MEM 43.738281 1715853716.0029
MEM 43.738281 1715853716.1033
MEM 43.738281 1715853716.2039
MEM 43.738281 1715853716.3044
MEM 43.738281 1715853716.4050
MEM 43.738281 1715853716.5055
MEM 43.738281 1715853716.6060
MEM 43.738281 1715853716.7066
MEM 43.738281 1715853716.8072
MEM 43.738281 1715853716.9077
MEM 43.738281 1715853717.0082
MEM 43.738281 1715853717.1087
MEM 43.738281 1715853717.2092
MEM 43.738281 1715853717.3097
MEM 43.738281 1715853717.4103
MEM 43.738281 1715853717.5108
MEM 43.738281 1715853717.6113
MEM 43.738281 1715853717.7119
MEM 43.738281 1715853717.8123
MEM 43.738281 1715853717.9128
MEM 43.738281 1715853718.0132
MEM 43.738281 1715853718.1136
MEM 43.738281 1715853718.2168
MEM 43.738281 1715853718.3172
MEM 43.738281 1715853718.4177
MEM 43.738281 1715853718.5181
MEM 43.738281 1715853718.6187
MEM 43.738281 1715853718.7191
MEM 43.738281 1715853718.8195
MEM 43.738281 1715853718.9200
MEM 43.738281 1715853719.0205
MEM 43.738281 1715853719.1209
MEM 43.738281 1715853719.2213
MEM 43.738281 1715853719.3218
MEM 43.738281 1715853719.4222
MEM 43.738281 1715853719.5227
MEM 43.738281 1715853719.6232
MEM 43.738281 1715853719.7236
MEM 43.738281 1715853719.8241
MEM 43.738281 1715853719.9245
MEM 43.738281 1715853720.0249
MEM 43.738281 1715853720.1253
MEM 43.738281 1715853720.2257
MEM 43.738281 1715853720.3262
MEM 43.738281 1715853720.4265
MEM 43.738281 1715853720.5270
MEM 43.738281 1715853720.6274
MEM 43.738281 1715853720.7279
MEM 43.738281 1715853720.8283
MEM 43.738281 1715853720.9287
MEM 43.738281 1715853721.0292
MEM 43.738281 1715853721.1296
MEM 43.738281 1715853721.2300
MEM 43.738281 1715853721.3304
MEM 43.738281 1715853721.4309
MEM 43.738281 1715853721.5314
MEM 43.738281 1715853721.6319
MEM 43.738281 1715853721.7323
MEM 43.738281 1715853721.8327
MEM 43.738281 1715853721.9332
MEM 43.738281 1715853722.0337
MEM 43.738281 1715853722.1342
MEM 43.738281 1715853722.2347
MEM 43.738281 1715853722.3351
MEM 43.738281 1715853722.4356
MEM 43.738281 1715853722.5360
MEM 43.738281 1715853722.6365
MEM 43.738281 1715853722.7369
MEM 43.738281 1715853722.8374
MEM 43.738281 1715853722.9379
MEM 43.738281 1715853723.0383
MEM 43.738281 1715853723.1387
MEM 43.738281 1715853723.2392
MEM 43.738281 1715853723.3422
MEM 43.738281 1715853723.4427
MEM 43.738281 1715853723.5432
MEM 43.738281 1715853723.6436
MEM 43.738281 1715853723.7441
MEM 43.738281 1715853723.8445
MEM 43.738281 1715853723.9449
MEM 43.738281 1715853724.0453
MEM 43.738281 1715853724.1457
MEM 43.738281 1715853724.2462
MEM 43.738281 1715853724.3466
MEM 43.738281 1715853724.4471
MEM 43.738281 1715853724.5475
