CMDLINE python3 nlogn.py
MEM 396.257812 1715786387.2599
MEM 396.257812 1715786387.3601
MEM 396.257812 1715786387.4604
MEM 396.257812 1715786387.5607
MEM 396.257812 1715786387.6610
MEM 396.257812 1715786387.7613
MEM 396.257812 1715786387.8617
MEM 396.257812 1715786387.9620
MEM 396.257812 1715786388.0623
MEM 396.257812 1715786388.1626
MEM 396.257812 1715786388.2628
MEM 396.257812 1715786388.3631
MEM 396.257812 1715786388.4634
MEM 396.257812 1715786388.5638
MEM 396.257812 1715786388.6642
MEM 401.007812 1715786388.7646
MEM 401.007812 1715786388.8650
MEM 401.007812 1715786388.9653
MEM 410.613281 1715786389.0657
MEM 410.613281 1715786389.1661
MEM 410.613281 1715786389.2665
MEM 410.613281 1715786389.3668
MEM 410.613281 1715786389.4671
MEM 410.613281 1715786389.5675
MEM 391.613281 1715786389.6680
MEM 391.738281 1715786389.7683
MEM 391.988281 1715786389.8687
MEM 391.988281 1715786389.9689
MEM 392.613281 1715786390.0693
MEM 392.613281 1715786390.1696
MEM 392.613281 1715786390.2699
MEM 392.613281 1715786390.3700
MEM 392.613281 1715786390.4703
MEM 393.863281 1715786390.5708
MEM 393.863281 1715786390.6711
MEM 393.863281 1715786390.7714
MEM 393.863281 1715786390.8717
MEM 393.863281 1715786390.9720
MEM 393.863281 1715786391.0723
MEM 393.863281 1715786391.1726
MEM 393.863281 1715786391.2729
MEM 393.863281 1715786391.3732
MEM 396.238281 1715786391.4736
MEM 396.238281 1715786391.5741
MEM 396.238281 1715786391.6745
MEM 396.238281 1715786391.7748
MEM 396.238281 1715786391.8750
MEM 396.238281 1715786391.9754
MEM 396.238281 1715786392.1032
MEM 396.238281 1715786392.2035
MEM 396.238281 1715786392.3039
MEM 396.238281 1715786392.4042
MEM 396.238281 1715786392.5046
MEM 396.238281 1715786392.6049
MEM 396.238281 1715786392.7052
MEM 396.238281 1715786392.8055
MEM 396.238281 1715786392.9058
MEM 396.238281 1715786393.0061
MEM 396.238281 1715786393.1064
MEM 396.238281 1715786393.2067
MEM 396.238281 1715786393.3070
MEM 396.238281 1715786393.4074
MEM 400.988281 1715786393.5079
MEM 400.988281 1715786393.6081
MEM 400.988281 1715786393.7085
MEM 400.988281 1715786393.8089
MEM 400.988281 1715786393.9091
MEM 400.988281 1715786394.0094
MEM 400.988281 1715786394.1097
MEM 400.988281 1715786394.2101
MEM 400.988281 1715786394.3105
MEM 400.988281 1715786394.4108
MEM 400.988281 1715786394.5110
MEM 400.988281 1715786394.6114
MEM 400.988281 1715786394.7118
MEM 400.988281 1715786394.8121
MEM 400.988281 1715786394.9123
MEM 400.988281 1715786395.0126
MEM 400.988281 1715786395.1129
MEM 400.988281 1715786395.2132
MEM 400.988281 1715786395.3135
MEM 400.988281 1715786395.4138
MEM 400.988281 1715786395.5141
MEM 400.988281 1715786395.6145
MEM 400.988281 1715786395.7150
MEM 400.988281 1715786395.8153
MEM 400.988281 1715786395.9156
MEM 400.988281 1715786396.0159
MEM 400.988281 1715786396.1162
MEM 400.988281 1715786396.2165
MEM 400.988281 1715786396.3168
MEM 400.988281 1715786396.4171
MEM 400.988281 1715786396.5175
MEM 400.988281 1715786396.6179
MEM 400.988281 1715786396.7182
MEM 400.988281 1715786396.8185
MEM 400.988281 1715786396.9187
MEM 400.988281 1715786397.0190
MEM 400.988281 1715786397.1194
MEM 400.988281 1715786397.2197
MEM 400.988281 1715786397.3199
MEM 400.988281 1715786397.4203
MEM 400.988281 1715786397.5207
MEM 400.988281 1715786397.6211
MEM 400.988281 1715786397.7215
MEM 410.488281 1715786397.8219
MEM 410.488281 1715786397.9223
MEM 410.488281 1715786398.0227
MEM 410.488281 1715786398.1229
MEM 410.488281 1715786398.2233
MEM 410.488281 1715786398.3237
MEM 410.488281 1715786398.4241
MEM 429.738281 1715786398.5245
MEM 429.738281 1715786398.6248
MEM 429.738281 1715786398.7252
MEM 429.738281 1715786398.8256
MEM 429.738281 1715786398.9259
MEM 429.738281 1715786399.0261
MEM 429.738281 1715786399.1265
MEM 429.738281 1715786399.2268
MEM 429.738281 1715786399.3271
MEM 429.738281 1715786399.4274
MEM 429.738281 1715786399.5278
MEM 429.738281 1715786399.6281
MEM 429.738281 1715786399.7284
MEM 391.613281 1715786399.8289
MEM 391.738281 1715786399.9293
MEM 391.988281 1715786400.0296
MEM 391.988281 1715786400.1299
MEM 392.613281 1715786400.2302
MEM 392.613281 1715786400.3305
MEM 392.613281 1715786400.4308
MEM 392.613281 1715786400.5310
MEM 392.613281 1715786400.6314
MEM 393.863281 1715786400.7318
MEM 393.863281 1715786400.8321
MEM 393.863281 1715786400.9324
MEM 393.863281 1715786401.0327
MEM 393.863281 1715786401.1331
MEM 393.863281 1715786401.2333
MEM 393.863281 1715786401.3336
MEM 393.863281 1715786401.4339
MEM 393.863281 1715786401.5342
MEM 396.238281 1715786401.6346
MEM 396.238281 1715786401.7350
MEM 396.238281 1715786401.8352
MEM 396.238281 1715786401.9355
MEM 396.238281 1715786402.0358
MEM 396.238281 1715786402.1361
MEM 396.238281 1715786402.2365
MEM 396.238281 1715786402.3369
MEM 396.238281 1715786402.4373
MEM 396.238281 1715786402.5377
MEM 396.238281 1715786402.6382
MEM 396.238281 1715786402.7386
MEM 396.238281 1715786402.8390
MEM 396.238281 1715786402.9395
MEM 396.238281 1715786403.0400
MEM 396.238281 1715786403.1405
MEM 396.238281 1715786403.2410
MEM 396.238281 1715786403.3415
MEM 396.238281 1715786403.4420
