n,times
583,0.01054137
584,0.01980572
585,0.01956895
586,0.01065752
587,0.01109919
588,0.01061636
589,0.01079458
590,0.01977428
591,0.01100038
592,0.01999479
593,0.01079439
594,0.01098859
595,0.01108577
596,0.01102833
597,0.01160580
598,0.01132404
599,0.01154843
600,0.01116894
601,0.01136361
602,0.02111844
603,0.03020961
604,0.02085162
605,0.02128470
606,0.01233584
607,0.01222258
608,0.01217292
609,0.01215583
610,0.01238491
611,0.01259585
612,0.01271194
613,0.02145982
614,0.01282704
615,0.01229275
616,0.01276795
617,0.01250851
618,0.01272528
619,0.01273345
620,0.01266440
621,0.01260272
622,0.01289803
623,0.01291895
624,0.01300162
625,0.01292214
626,0.01325000
627,0.01298334
628,0.01343173
629,0.01312977
630,0.01284715
631,0.01275674
632,0.02178833
633,0.01295193
634,0.01254780
635,0.01276034
636,0.01325655
637,0.01357865
638,0.01416582
639,0.01317307
640,0.01324978
641,0.01360527
642,0.02238934
643,0.01308168
644,0.02284353
645,0.02235495
646,0.01380111
647,0.01401822
648,0.01418154
649,0.01431873
650,0.01400364
651,0.01403889
652,0.01422153
653,0.02293842
654,0.01343506
655,0.01378206
656,0.01383407
657,0.01370255
658,0.01377347
659,0.01408990
660,0.01407017
661,0.01420565
662,0.01437077
663,0.01383853
664,0.01459950
665,0.02343012
666,0.01475240
667,0.01448507
668,0.02368444
669,0.01444688
670,0.01464637
671,0.02358479
672,0.01494979
673,0.01560290
674,0.01467423
675,0.02450854
676,0.01526850
677,0.01542046
678,0.01534811
679,0.01548868
680,0.02431077
681,0.01556887
682,0.01590534
683,0.01565577
684,0.01532740
685,0.01586412
686,0.01546354
687,0.02497231
688,0.01610074
689,0.01572074
690,0.01610078
691,0.01623473
692,0.01657162
693,0.01609398
694,0.01614011
695,0.01667017
696,0.01586320
697,0.01638428
698,0.01540498
699,0.02502376
700,0.01568385
701,0.01613600
702,0.01603939
703,0.01573808
704,0.02519156
705,0.01631934
706,0.02477831
707,0.01608564
708,0.01662709
709,0.02575252
710,0.01672934
711,0.01668966
712,0.01752181
713,0.01677307
714,0.01712423
715,0.01700275
716,0.01712375
717,0.02598611
718,0.01651422
719,0.01694028
720,0.01670850
721,0.01726238
722,0.01690203
723,0.01715524
724,0.01699773
725,0.01671006
726,0.01763883
727,0.01732643
728,0.01713639
729,0.01695031
730,0.01740619
731,0.01715083
732,0.01796903
733,0.01753220
734,0.03583738
735,0.01780268
736,0.01749318
737,0.02684115
738,0.01756655
739,0.01789525
740,0.01848492
741,0.01808758
742,0.01782718
743,0.02730720
744,0.01855664
745,0.01838588
746,0.01793962
747,0.01827899
748,0.01793552
749,0.02784224
750,0.01833176
751,0.02736782
752,0.01952838
753,0.02777820
754,0.01837787
755,0.01905965
756,0.01858092
757,0.01863828
758,0.01891473
759,0.01920752
760,0.02002133
761,0.02796121
762,0.01911247
763,0.01941477
764,0.01929656
765,0.01970372
766,0.01956100
767,0.01969515
768,0.01950941
769,0.02777316
770,0.01948574
771,0.02867700
772,0.01971537
773,0.02001018
774,0.01979958
775,0.02002102
776,0.01991602
777,0.02052297
778,0.02021445
779,0.02001404
780,0.02050594
781,0.01943761
782,0.01948477
783,0.02940577
784,0.01990704
785,0.02003247
786,0.02023526
787,0.02000958
788,0.02941907
789,0.01997431
790,0.02051106
791,0.02018281
792,0.02956661
793,0.02934140
794,0.02961180
795,0.02151217
796,0.02996287
797,0.02153253
798,0.02126125
799,0.02158516
800,0.02136831
801,0.02189779
802,0.02141847
803,0.02178605
804,0.02136168
805,0.02106180
806,0.02168359
807,0.02058255
808,0.02062838
809,0.02079320
810,0.02075141
811,0.03950891
812,0.02148975
813,0.02137401
814,0.03961922
815,0.02216271
816,0.02362743
817,0.02287773
818,0.02224636
819,0.02232350
820,0.02269602
821,0.02178609
822,0.02283287
823,0.03097307
824,0.02214128
825,0.02271086
826,0.02212914
827,0.02272643
828,0.02211535
829,0.02271423
830,0.02225165
831,0.02369208
832,0.03125516
833,0.02253762
834,0.02268854
835,0.02352654
836,0.02344626
837,0.02412008
838,0.02386573
839,0.02390741
840,0.02431011
841,0.02433377
842,0.02389356
843,0.02433143
844,0.02438593
845,0.02476145
846,0.02439418
847,0.02498870
848,0.02475630
849,0.02475132
850,0.02504527
851,0.02480824
852,0.02530186
853,0.02494171
854,0.02492636
855,0.02553113
856,0.02497017
857,0.02554935
858,0.04068186
859,0.03274962
860,0.02575823
861,0.02481166
862,0.02550773
863,0.02584806
864,0.02599775
865,0.02620876
866,0.02615663
867,0.02599875
868,0.02531448
869,0.02612953
870,0.02601188
871,0.02605745
872,0.02666059
873,0.02597137
874,0.02603772
875,0.02632922
876,0.02663646
877,0.02686121
878,0.02804700
879,0.02398044
880,0.03209091
881,0.03281104
882,0.02394015
883,0.03308230
884,0.02417461
885,0.04232157
886,0.03315290
887,0.03339925
888,0.02552449
889,0.02551584
890,0.02543536
891,0.03354353
892,0.05629073
893,0.04427903
894,0.03491936
895,0.02626523
896,0.02566951
897,0.02562397
898,0.03520437
899,0.02613385
900,0.02585789
901,0.02582545
902,0.04558163
903,0.02657675
904,0.02673664
905,0.02733513
906,0.02685138
907,0.02732044
908,0.02668323
909,0.03561681
910,0.03592289
911,0.02672895
912,0.05490808
913,0.02793099
914,0.02799555
915,0.02821509
916,0.04678895
917,0.02828612
918,0.02838734
919,0.02857271
920,0.02811987
921,0.03815487
922,0.02846760
923,0.02808135
924,0.02884812
925,0.02908524
926,0.03770337
927,0.02882410
928,0.02906913
929,0.02917714
930,0.02909234
931,0.03757137
932,0.02858409
933,0.02869021
934,0.02891243
935,0.02894684
936,0.02878433
937,0.03779975
938,0.03835662
939,0.02933490
940,0.02880615
941,0.03909988
942,0.02888862
943,0.02911508
944,0.02964644
945,0.02965252
946,0.03809619
947,0.02964399
948,0.03947251
949,0.02937276
950,0.02963643
951,0.02992776
952,0.03887329
953,0.03054773
954,0.03002794
955,0.03988115
956,0.03011026
957,0.03043796
958,0.03052831
959,0.02999428
960,0.03016640
961,0.03042859
962,0.03879392
963,0.03069544
964,0.03924379
965,0.02958011
966,0.03101053
967,0.03068121
968,0.03933405
969,0.03036161
970,0.03146531
971,0.03065264
972,0.03110909
973,0.03077501
974,0.02997417
975,0.03049492
976,0.03109336
977,0.03916778
978,0.03076265
979,0.03976583
980,0.03949931
981,0.02990372
982,0.03158972
983,0.04058024
984,0.03003601
985,0.03106332
986,0.03975098
987,0.03237332
988,0.03309153
989,0.03367126
990,0.03469018
991,0.03397710
992,0.03423599
993,0.03453458
994,0.04293221
995,0.03476090
996,0.03460621
997,0.03430129
998,0.03569028
999,0.04277769
1000,0.03486218
1001,0.03579092
1002,0.03552633
1003,0.03510253
1004,0.03588376
1005,0.05087558
1006,0.03511294
1007,0.03550644
1008,0.03597856
1009,0.03535952
1010,0.03629648
1011,0.03613759
1012,0.03639766
1013,0.03654686
1014,0.04388875
1015,0.03642295
1016,0.03708822
1017,0.03607080
1018,0.03768320
1019,0.03659133
1020,0.03706920
1021,0.03703947
1022,0.04306402
1023,0.03594572
1024,0.03326020
1025,0.05882084
1026,0.07029806
1027,0.05161777
1028,0.03279594
1029,0.03445855
1030,0.04287552
1031,0.03415329
1032,0.04274981
1033,0.04276747
1034,0.03400078
1035,0.03518768
1036,0.03527010
1037,0.03495557
1038,0.03515969
1039,0.03584934
1040,0.03519509
1041,0.03571466
1042,0.03635234
1043,0.03603041
1044,0.04417807
1045,0.03670053
1046,0.03666730
1047,0.03643870
1048,0.05312954
1049,0.03638900
1050,0.03740075
1051,0.03631621
1052,0.04566309
1053,0.05346540
1054,0.04444441
1055,0.05845185
1056,0.05672994
1057,0.04656270
1058,0.03841702
1059,0.03924695
1060,0.04916856
1061,0.03662754
1062,0.03808126
1063,0.03686731
1064,0.03679761
1065,0.03815579
1066,0.03791528
1067,0.05160421
1068,0.03938865
1069,0.03761674
1070,0.03740033
1071,0.04459184
1072,0.03702674
1073,0.03694976
1074,0.03748887
1075,0.03790523
1076,0.03761826
1077,0.03835606
1078,0.03860051
1079,0.03930277
1080,0.03913611
1081,0.03822434
1082,0.03848686
1083,0.05518938
1084,0.04754155
1085,0.05545213
1086,0.03952284
1087,0.03947252
1088,0.03918104
1089,0.03871733
1090,0.03916337
1091,0.03945660
1092,0.03958225
1093,0.03973289
1094,0.03951432
1095,0.03958276
1096,0.04016029
1097,0.04021023
1098,0.04022951
1099,0.03972799
1100,0.03964464
1101,0.04021387
1102,0.04007711
1103,0.04061891
1104,0.04062499
1105,0.04047272
1106,0.04092742
1107,0.04138022
1108,0.04105528
1109,0.04071010
1110,0.04087539
1111,0.04151199
1112,0.04046562
1113,0.04200714
1114,0.04134390
1115,0.04158234
1116,0.04141799
1117,0.04163157
1118,0.04130345
1119,0.04147821
1120,0.04192051
1121,0.04188845
1122,0.04173052
1123,0.04153665
1124,0.04203478
1125,0.04263524
1126,0.05777219
1127,0.06777410
1128,0.04424691
1129,0.04610109
1130,0.04542755
1131,0.04566254
1132,0.04589062
1133,0.04538837
1134,0.04527510
1135,0.04503054
1136,0.04600474
1137,0.04604099
1138,0.04575411
1139,0.04698249
1140,0.04622041
1141,0.04644497
1142,0.04756255
1143,0.04742151
1144,0.04762407
1145,0.04702618
1146,0.04773572
1147,0.04671580
1148,0.04799606
1149,0.04772509
1150,0.04858673
1151,0.09216042
1152,0.05393549
1153,0.07749768
1154,0.04192603
1155,0.05030847
1156,0.04679489
1157,0.04493537
1158,0.04753927
1159,0.04796050
1160,0.06661690
1161,0.06017217
1162,0.06971730
1163,0.04630701
1164,0.04814592
1165,0.04816558
1166,0.05001270
1167,0.04347499
1168,0.04430934
1169,0.04457513
1170,0.04574537
1171,0.04546260
1172,0.05397719
1173,0.04450150
1174,0.04881548
1175,0.04879411
1176,0.04978437
1177,0.04980576
1178,0.04974713
1179,0.04969467
1180,0.05012454
1181,0.05059468
1182,0.05048962
1183,0.05091238
1184,0.05041778
1185,0.05052620
