CMDLINE python3 nsquare.py
MEM 20.625000 1715787004.0696
MEM 20.625000 1715787004.1699
MEM 20.625000 1715787004.2702
MEM 20.625000 1715787004.3706
MEM 20.625000 1715787004.4710
MEM 20.625000 1715787004.5714
MEM 20.625000 1715787004.6717
MEM 20.625000 1715787004.7721
MEM 20.625000 1715787004.8725
MEM 20.625000 1715787004.9729
MEM 20.625000 1715787005.0733
MEM 20.625000 1715787005.1735
MEM 20.625000 1715787005.2738
MEM 20.625000 1715787005.4017
MEM 20.625000 1715787005.5021
MEM 20.625000 1715787005.6024
MEM 20.625000 1715787005.7028
MEM 20.625000 1715787005.8032
MEM 20.625000 1715787005.9036
MEM 20.625000 1715787006.0040
MEM 20.625000 1715787006.1044
MEM 20.625000 1715787006.2047
MEM 20.625000 1715787006.3050
MEM 20.625000 1715787006.4054
MEM 20.625000 1715787006.5056
MEM 20.625000 1715787006.6059
MEM 20.625000 1715787006.7063
MEM 20.625000 1715787006.8066
MEM 20.625000 1715787006.9070
MEM 20.625000 1715787007.0074
MEM 20.625000 1715787007.1077
MEM 20.625000 1715787007.2081
MEM 20.625000 1715787007.3084
MEM 20.625000 1715787007.4088
MEM 20.625000 1715787007.5092
MEM 20.625000 1715787007.6096
MEM 20.625000 1715787007.7099
MEM 20.625000 1715787007.8102
MEM 20.625000 1715787007.9105
MEM 20.625000 1715787008.0109
MEM 20.625000 1715787008.1113
MEM 20.625000 1715787008.2116
MEM 20.625000 1715787008.3119
MEM 20.625000 1715787008.4123
MEM 20.625000 1715787008.5127
MEM 20.625000 1715787008.6129
MEM 20.625000 1715787008.7133
MEM 20.625000 1715787008.8137
MEM 20.625000 1715787008.9140
MEM 20.625000 1715787009.0144
MEM 20.625000 1715787009.1148
MEM 20.625000 1715787009.2151
MEM 20.625000 1715787009.3154
MEM 20.625000 1715787009.4157
MEM 20.625000 1715787009.5161
MEM 20.625000 1715787009.6165
MEM 20.625000 1715787009.7169
MEM 20.625000 1715787009.8172
MEM 20.625000 1715787009.9176
MEM 20.625000 1715787010.0180
MEM 20.625000 1715787010.1183
MEM 20.625000 1715787010.2186
MEM 20.625000 1715787010.3188
MEM 20.625000 1715787010.4192
MEM 20.625000 1715787010.5196
MEM 20.625000 1715787010.6199
MEM 20.625000 1715787010.7203
MEM 20.625000 1715787010.8207
MEM 20.625000 1715787010.9211
MEM 20.625000 1715787011.0215
MEM 20.625000 1715787011.1217
MEM 20.625000 1715787011.2220
MEM 20.625000 1715787011.3224
MEM 20.625000 1715787011.4228
MEM 20.625000 1715787011.5232
MEM 20.625000 1715787011.6236
MEM 20.625000 1715787011.7240
MEM 20.625000 1715787011.8243
MEM 20.625000 1715787011.9246
MEM 20.625000 1715787012.0249
MEM 20.625000 1715787012.1253
MEM 20.625000 1715787012.2257
MEM 20.625000 1715787012.3260
MEM 20.625000 1715787012.4263
MEM 20.625000 1715787012.5266
MEM 20.625000 1715787012.6269
MEM 20.625000 1715787012.7273
MEM 20.625000 1715787012.8276
MEM 20.625000 1715787012.9279
MEM 20.625000 1715787013.0283
MEM 20.625000 1715787013.1287
MEM 20.625000 1715787013.2291
MEM 20.625000 1715787013.3293
MEM 20.625000 1715787013.4296
MEM 20.625000 1715787013.5300
MEM 20.625000 1715787013.6303
MEM 20.625000 1715787013.7306
MEM 20.625000 1715787013.8310
MEM 20.625000 1715787013.9313
MEM 20.625000 1715787014.0317
MEM 20.625000 1715787014.1321
MEM 20.625000 1715787014.2324
MEM 20.625000 1715787014.3327
MEM 20.625000 1715787014.4331
MEM 20.625000 1715787014.5335
MEM 20.625000 1715787014.6337
MEM 20.625000 1715787014.7340
MEM 20.625000 1715787014.8344
MEM 20.625000 1715787014.9347
MEM 20.625000 1715787015.0351
MEM 20.625000 1715787015.1355
MEM 20.625000 1715787015.2358
MEM 20.625000 1715787015.3362
MEM 20.625000 1715787015.4365
MEM 20.625000 1715787015.5369
MEM 20.625000 1715787015.6651
MEM 20.625000 1715787015.7655
MEM 20.625000 1715787015.8657
MEM 20.625000 1715787015.9659
MEM 20.625000 1715787016.0663
MEM 20.625000 1715787016.1667
MEM 20.625000 1715787016.2671
MEM 20.625000 1715787016.3674
MEM 20.625000 1715787016.4678
MEM 20.625000 1715787016.5681
MEM 20.625000 1715787016.6684
MEM 20.625000 1715787016.7687
MEM 20.625000 1715787016.8690
MEM 20.625000 1715787016.9694
MEM 20.625000 1715787017.0697
MEM 20.625000 1715787017.1700
MEM 20.625000 1715787017.2703
MEM 20.625000 1715787017.3706
MEM 20.625000 1715787017.4710
MEM 20.625000 1715787017.5713
MEM 20.625000 1715787017.6717
MEM 20.625000 1715787017.7721
MEM 20.625000 1715787017.8724
MEM 20.625000 1715787017.9727
MEM 20.625000 1715787018.0730
MEM 20.625000 1715787018.1733
MEM 20.625000 1715787018.2737
MEM 20.625000 1715787018.3740
MEM 20.625000 1715787018.4744
MEM 20.625000 1715787018.5748
MEM 20.625000 1715787018.6751
MEM 20.625000 1715787018.7754
MEM 20.625000 1715787018.8756
MEM 20.625000 1715787018.9760
MEM 20.625000 1715787019.0765
MEM 20.625000 1715787019.1767
MEM 20.625000 1715787019.2771
MEM 20.625000 1715787019.3773
MEM 20.625000 1715787019.4777
MEM 20.625000 1715787019.5781
MEM 20.625000 1715787019.6784
MEM 20.625000 1715787019.7787
MEM 20.625000 1715787019.8791
MEM 20.625000 1715787019.9794
MEM 20.625000 1715787020.0797
MEM 20.625000 1715787020.1801
MEM 20.625000 1715787020.2804
MEM 20.625000 1715787020.3808
MEM 20.625000 1715787020.4812
MEM 20.625000 1715787020.5816
MEM 20.625000 1715787020.6819
MEM 20.625000 1715787020.7823
MEM 20.625000 1715787020.8826
MEM 20.625000 1715787020.9829
MEM 20.625000 1715787021.0832
MEM 20.625000 1715787021.1836
MEM 20.625000 1715787021.2839
MEM 20.625000 1715787021.3843
MEM 20.625000 1715787021.4846
MEM 20.625000 1715787021.5849
MEM 20.625000 1715787021.6853
