CMDLINE java nsquare
MEM 40.863281 1715786898.9004
MEM 40.863281 1715786899.0007
MEM 40.863281 1715786899.1011
MEM 40.863281 1715786899.2013
MEM 40.863281 1715786899.3016
MEM 40.863281 1715786899.4018
MEM 40.863281 1715786899.5020
MEM 40.863281 1715786899.6023
MEM 40.863281 1715786899.7025
MEM 40.863281 1715786899.8028
MEM 40.863281 1715786899.9031
MEM 40.863281 1715786900.0033
MEM 40.863281 1715786900.1037
MEM 40.863281 1715786900.2039
MEM 40.863281 1715786900.3042
MEM 40.863281 1715786900.4044
MEM 40.863281 1715786900.5047
MEM 40.863281 1715786900.6051
MEM 40.863281 1715786900.7053
MEM 40.863281 1715786900.8056
MEM 40.863281 1715786900.9059
MEM 40.863281 1715786901.0061
MEM 40.863281 1715786901.1063
MEM 40.863281 1715786901.2065
MEM 40.863281 1715786901.3068
MEM 40.863281 1715786901.4071
MEM 40.863281 1715786901.5074
MEM 40.863281 1715786901.6077
MEM 40.863281 1715786901.7080
MEM 40.863281 1715786901.8082
MEM 40.863281 1715786901.9109
MEM 40.863281 1715786902.0112
MEM 40.863281 1715786902.1115
MEM 40.863281 1715786902.2118
MEM 40.863281 1715786902.3120
MEM 40.863281 1715786902.4123
MEM 40.863281 1715786902.5126
MEM 40.863281 1715786902.6129
MEM 40.863281 1715786902.7132
MEM 40.863281 1715786902.8135
MEM 40.863281 1715786902.9137
MEM 40.863281 1715786903.0140
MEM 40.863281 1715786903.1143
MEM 40.863281 1715786903.2146
MEM 40.863281 1715786903.3148
MEM 40.863281 1715786903.4150
MEM 40.863281 1715786903.5153
MEM 40.863281 1715786903.6156
MEM 40.863281 1715786903.7158
MEM 40.863281 1715786903.8160
MEM 40.863281 1715786903.9162
MEM 40.863281 1715786904.0165
MEM 40.863281 1715786904.1169
MEM 40.863281 1715786904.2171
MEM 40.863281 1715786904.3174
MEM 40.863281 1715786904.4175
MEM 40.863281 1715786904.5177
MEM 40.863281 1715786904.6180
MEM 40.863281 1715786904.7183
MEM 40.863281 1715786904.8187
MEM 40.863281 1715786904.9190
MEM 40.863281 1715786905.0192
MEM 40.863281 1715786905.1196
MEM 40.863281 1715786905.2198
MEM 40.863281 1715786905.3201
MEM 40.863281 1715786905.4204
MEM 40.863281 1715786905.5205
MEM 40.863281 1715786905.6208
MEM 40.863281 1715786905.7211
