CMDLINE ./nsquare
MEM 4.199219 1715786784.6116
MEM 4.199219 1715786784.7119
MEM 4.199219 1715786784.8122
MEM 4.199219 1715786784.9125
MEM 4.199219 1715786785.0127
MEM 4.199219 1715786785.1129
MEM 4.199219 1715786785.2131
MEM 4.199219 1715786785.3135
MEM 4.199219 1715786785.4136
MEM 4.199219 1715786785.5138
MEM 4.199219 1715786785.6140
MEM 4.199219 1715786785.7142
MEM 4.199219 1715786785.8144
MEM 4.199219 1715786785.9147
MEM 4.199219 1715786786.0150
MEM 4.199219 1715786786.1152
MEM 4.199219 1715786786.2154
MEM 4.199219 1715786786.3158
MEM 4.199219 1715786786.4160
MEM 4.199219 1715786786.5163
MEM 4.199219 1715786786.6165
MEM 4.199219 1715786786.7168
MEM 4.199219 1715786786.8171
MEM 4.199219 1715786786.9175
MEM 4.199219 1715786787.0176
MEM 4.199219 1715786787.1178
MEM 4.199219 1715786787.2180
MEM 4.199219 1715786787.3182
MEM 4.199219 1715786787.4184
MEM 4.199219 1715786787.5186
MEM 4.199219 1715786787.6189
MEM 4.199219 1715786787.7191
MEM 4.199219 1715786787.8221
MEM 4.199219 1715786787.9224
MEM 4.199219 1715786788.0226
MEM 4.199219 1715786788.1229
MEM 4.199219 1715786788.2232
MEM 4.199219 1715786788.3234
MEM 4.199219 1715786788.4237
MEM 4.199219 1715786788.5239
MEM 4.199219 1715786788.6242
MEM 4.199219 1715786788.7245
MEM 4.199219 1715786788.8247
MEM 4.199219 1715786788.9250
MEM 4.199219 1715786789.0253
MEM 4.199219 1715786789.1256
MEM 4.199219 1715786789.2258
MEM 4.199219 1715786789.3260
MEM 4.199219 1715786789.4263
MEM 4.199219 1715786789.5266
MEM 4.199219 1715786789.6268
MEM 4.199219 1715786789.7271
MEM 4.199219 1715786789.8275
MEM 4.199219 1715786789.9278
MEM 4.199219 1715786790.0281
MEM 4.199219 1715786790.1282
MEM 4.199219 1715786790.2285
MEM 4.199219 1715786790.3288
MEM 4.199219 1715786790.4290
MEM 4.199219 1715786790.5294
MEM 4.199219 1715786790.6296
MEM 4.199219 1715786790.7298
MEM 4.199219 1715786790.8300
MEM 4.199219 1715786790.9303
MEM 4.199219 1715786791.0306
MEM 4.199219 1715786791.1308
MEM 4.199219 1715786791.2311
MEM 4.199219 1715786791.3314
MEM 4.199219 1715786791.4317
MEM 4.199219 1715786791.5320
MEM 4.199219 1715786791.6322
MEM 4.199219 1715786791.7324
MEM 4.199219 1715786791.8327
MEM 4.199219 1715786791.9331
MEM 4.199219 1715786792.0333
MEM 4.199219 1715786792.1334
MEM 4.199219 1715786792.2336
MEM 4.199219 1715786792.3338
MEM 4.199219 1715786792.4340
MEM 4.199219 1715786792.5343
MEM 4.199219 1715786792.6346
MEM 4.199219 1715786792.7349
MEM 4.199219 1715786792.8352
MEM 4.199219 1715786792.9382
MEM 4.199219 1715786793.0386
MEM 4.199219 1715786793.1389
MEM 4.199219 1715786793.2392
MEM 4.199219 1715786793.3394
MEM 4.199219 1715786793.4396
MEM 4.199219 1715786793.5399
MEM 4.199219 1715786793.6402
MEM 4.199219 1715786793.7404
MEM 4.199219 1715786793.8407
MEM 4.199219 1715786793.9409
MEM 4.199219 1715786794.0412
MEM 4.199219 1715786794.1415
MEM 4.199219 1715786794.2417
MEM 4.199219 1715786794.3419
MEM 4.199219 1715786794.4421
MEM 4.199219 1715786794.5424
MEM 4.199219 1715786794.6426
MEM 4.199219 1715786794.7428
MEM 4.199219 1715786794.8431
MEM 4.199219 1715786794.9434
MEM 4.199219 1715786795.0438
MEM 4.199219 1715786795.1441
MEM 4.199219 1715786795.2443
MEM 4.199219 1715786795.3447
MEM 4.199219 1715786795.4450
MEM 4.199219 1715786795.5452
MEM 4.199219 1715786795.6455
MEM 4.199219 1715786795.7456
MEM 4.199219 1715786795.8458
MEM 4.199219 1715786795.9460
MEM 4.199219 1715786796.0462
MEM 4.199219 1715786796.1465
MEM 4.199219 1715786796.2467
MEM 4.199219 1715786796.3470
MEM 4.199219 1715786796.4473
MEM 4.199219 1715786796.5476
MEM 4.199219 1715786796.6479
MEM 4.199219 1715786796.7482
MEM 4.199219 1715786796.8485
MEM 4.199219 1715786796.9488
MEM 4.199219 1715786797.0490
MEM 4.199219 1715786797.1493
MEM 4.199219 1715786797.2495
MEM 4.199219 1715786797.3497
MEM 4.199219 1715786797.4499
MEM 4.199219 1715786797.5501
MEM 4.199219 1715786797.6504
MEM 4.199219 1715786797.7507
MEM 4.199219 1715786797.8510
MEM 4.199219 1715786797.9513
MEM 4.199219 1715786798.0543
MEM 4.199219 1715786798.1546
MEM 4.199219 1715786798.2549
MEM 4.199219 1715786798.3552
MEM 4.199219 1715786798.4556
MEM 4.199219 1715786798.5558
MEM 4.199219 1715786798.6561
MEM 4.199219 1715786798.7564
MEM 4.199219 1715786798.8566
MEM 4.199219 1715786798.9569
MEM 4.199219 1715786799.0573
MEM 4.199219 1715786799.1577
MEM 4.199219 1715786799.2579
MEM 4.199219 1715786799.3583
MEM 4.199219 1715786799.4587
MEM 4.199219 1715786799.5590
MEM 4.199219 1715786799.6593
MEM 4.199219 1715786799.7597
MEM 4.199219 1715786799.8600
MEM 4.199219 1715786799.9603
MEM 4.199219 1715786800.0605
MEM 4.199219 1715786800.1608
MEM 4.199219 1715786800.2610
MEM 4.199219 1715786800.3613
MEM 4.199219 1715786800.4616
MEM 4.199219 1715786800.5619
MEM 4.199219 1715786800.6620
MEM 4.199219 1715786800.7624
MEM 4.199219 1715786800.8627
MEM 4.199219 1715786800.9630
MEM 4.199219 1715786801.0632
MEM 4.199219 1715786801.1635
MEM 4.199219 1715786801.2638
MEM 4.199219 1715786801.3641
MEM 4.199219 1715786801.4644
MEM 4.199219 1715786801.5646
MEM 4.199219 1715786801.6649
MEM 4.199219 1715786801.7652
MEM 4.199219 1715786801.8656
MEM 4.199219 1715786801.9658
MEM 4.199219 1715786802.0661
MEM 4.199219 1715786802.1664
MEM 4.199219 1715786802.2667
MEM 4.199219 1715786802.3670
MEM 4.199219 1715786802.4672
MEM 4.199219 1715786802.5675
MEM 4.199219 1715786802.6678
MEM 4.199219 1715786802.7680
MEM 4.199219 1715786802.8684
MEM 4.199219 1715786802.9686
MEM 4.199219 1715786803.0689
MEM 4.199219 1715786803.1692
MEM 4.199219 1715786803.2696
MEM 4.199219 1715786803.3699
MEM 4.199219 1715786803.4702
MEM 4.199219 1715786803.5704
MEM 4.199219 1715786803.6707
MEM 4.199219 1715786803.7710
MEM 4.199219 1715786803.8714
MEM 4.199219 1715786803.9716
MEM 4.199219 1715786804.0718
MEM 4.199219 1715786804.1721
MEM 4.199219 1715786804.2724
MEM 4.199219 1715786804.3728
MEM 4.199219 1715786804.4731
MEM 4.199219 1715786804.5734
MEM 4.199219 1715786804.6737
MEM 4.199219 1715786804.7740
MEM 4.199219 1715786804.8743
MEM 4.199219 1715786804.9746
MEM 4.199219 1715786805.0747
MEM 4.199219 1715786805.1750
MEM 4.199219 1715786805.2754
MEM 4.199219 1715786805.3758
MEM 4.199219 1715786805.4760
MEM 4.199219 1715786805.5763
MEM 4.199219 1715786805.6766
MEM 4.199219 1715786805.7769
MEM 4.199219 1715786805.8772
MEM 4.199219 1715786805.9775
MEM 4.199219 1715786806.0778
MEM 4.199219 1715786806.1781
MEM 4.199219 1715786806.2784
MEM 4.199219 1715786806.3787
MEM 4.199219 1715786806.4790
MEM 4.199219 1715786806.5793
MEM 4.199219 1715786806.6795
MEM 4.199219 1715786806.7798
MEM 4.199219 1715786806.8801
MEM 4.199219 1715786806.9803
MEM 4.199219 1715786807.0806
MEM 4.199219 1715786807.1809
MEM 4.199219 1715786807.2811
MEM 4.199219 1715786807.3814
MEM 4.199219 1715786807.4817
MEM 4.199219 1715786807.5820
MEM 4.199219 1715786807.6822
MEM 4.199219 1715786807.7825
MEM 4.199219 1715786807.8828
MEM 4.199219 1715786807.9830
MEM 4.199219 1715786808.0833
MEM 4.199219 1715786808.1836
MEM 4.199219 1715786808.3117
MEM 4.199219 1715786808.4120
MEM 4.199219 1715786808.5124
MEM 4.199219 1715786808.6128
MEM 4.199219 1715786808.7131
MEM 4.199219 1715786808.8135
MEM 4.199219 1715786808.9138
MEM 4.199219 1715786809.0141
MEM 4.199219 1715786809.1143
MEM 4.199219 1715786809.2146
MEM 4.199219 1715786809.3149
MEM 4.199219 1715786809.4152
MEM 4.199219 1715786809.5155
MEM 4.199219 1715786809.6158
MEM 4.199219 1715786809.7161
MEM 4.199219 1715786809.8165
MEM 4.199219 1715786809.9166
MEM 4.199219 1715786810.0169
MEM 4.199219 1715786810.1172
MEM 4.199219 1715786810.2175
MEM 4.199219 1715786810.3178
MEM 4.199219 1715786810.4182
MEM 4.199219 1715786810.5186
MEM 4.199219 1715786810.6189
MEM 4.199219 1715786810.7192
MEM 4.199219 1715786810.8195
MEM 4.199219 1715786810.9197
MEM 4.199219 1715786811.0200
MEM 4.199219 1715786811.1203
MEM 4.199219 1715786811.2206
MEM 4.199219 1715786811.3209
MEM 4.199219 1715786811.4212
MEM 4.199219 1715786811.5215
MEM 4.199219 1715786811.6218
MEM 4.199219 1715786811.7221
MEM 4.199219 1715786811.8224
MEM 4.199219 1715786811.9227
MEM 4.199219 1715786812.0230
MEM 4.199219 1715786812.1231
MEM 4.199219 1715786812.2234
MEM 4.199219 1715786812.3238
MEM 4.199219 1715786812.4241
MEM 4.199219 1715786812.5243
MEM 4.199219 1715786812.6246
MEM 4.199219 1715786812.7250
MEM 4.199219 1715786812.8253
MEM 4.199219 1715786812.9256
MEM 4.199219 1715786813.0259
MEM 4.199219 1715786813.1261
MEM 4.199219 1715786813.2262
MEM 4.199219 1715786813.3266
MEM 4.199219 1715786813.4296
MEM 4.199219 1715786813.5298
MEM 4.199219 1715786813.6301
MEM 4.199219 1715786813.7305
MEM 4.199219 1715786813.8309
MEM 4.199219 1715786813.9312
MEM 4.199219 1715786814.0316
MEM 4.199219 1715786814.1319
MEM 4.199219 1715786814.2322
MEM 4.199219 1715786814.3325
MEM 4.199219 1715786814.4329
MEM 4.199219 1715786814.5331
MEM 4.199219 1715786814.6335
MEM 4.199219 1715786814.7336
MEM 4.199219 1715786814.8340
MEM 4.199219 1715786814.9343
MEM 4.199219 1715786815.0346
MEM 4.199219 1715786815.1349
