CMDLINE python3 nsquare.py
MEM 391.750000 1715854258.4175
MEM 391.750000 1715854258.5178
MEM 391.750000 1715854258.6182
MEM 391.750000 1715854258.7185
MEM 391.750000 1715854258.8189
MEM 391.750000 1715854258.9193
MEM 391.750000 1715854259.0196
MEM 391.750000 1715854259.1200
MEM 391.750000 1715854259.2203
MEM 391.750000 1715854259.3207
MEM 391.750000 1715854259.4210
MEM 391.750000 1715854259.5214
MEM 391.750000 1715854259.6217
MEM 391.750000 1715854259.7221
MEM 391.750000 1715854259.8224
MEM 391.750000 1715854259.9227
MEM 391.750000 1715854260.0230
MEM 391.750000 1715854260.1234
MEM 391.750000 1715854260.2237
MEM 391.750000 1715854260.3240
MEM 391.750000 1715854260.4243
MEM 391.750000 1715854260.5246
MEM 391.750000 1715854260.6250
MEM 391.750000 1715854260.7253
MEM 391.750000 1715854260.8256
MEM 391.750000 1715854260.9259
MEM 391.750000 1715854261.0263
MEM 391.750000 1715854261.1266
MEM 391.750000 1715854261.2269
MEM 391.750000 1715854261.3272
MEM 391.750000 1715854261.4275
MEM 391.750000 1715854261.5278
MEM 391.750000 1715854261.6281
MEM 391.750000 1715854261.7284
MEM 391.750000 1715854261.8287
MEM 391.750000 1715854261.9290
MEM 391.750000 1715854262.0293
MEM 391.750000 1715854262.1297
MEM 391.750000 1715854262.2300
MEM 391.750000 1715854262.3304
MEM 391.750000 1715854262.4308
MEM 391.750000 1715854262.5311
MEM 391.750000 1715854262.6315
MEM 391.750000 1715854262.7320
MEM 391.750000 1715854262.8323
MEM 391.750000 1715854262.9327
MEM 391.750000 1715854263.0330
MEM 391.750000 1715854263.1334
MEM 391.750000 1715854263.2338
MEM 391.750000 1715854263.3368
MEM 391.750000 1715854263.4372
MEM 391.750000 1715854263.5375
MEM 391.750000 1715854263.6379
MEM 391.750000 1715854263.7382
MEM 391.750000 1715854263.8385
MEM 391.750000 1715854263.9389
MEM 391.750000 1715854264.0392
MEM 391.750000 1715854264.1396
MEM 391.750000 1715854264.2404
MEM 391.750000 1715854264.3408
MEM 391.750000 1715854264.4412
MEM 391.750000 1715854264.5416
MEM 391.750000 1715854264.6442
MEM 391.750000 1715854264.7447
MEM 391.750000 1715854264.8451
MEM 391.750000 1715854264.9454
MEM 391.750000 1715854265.0459
MEM 391.750000 1715854265.1489
MEM 391.750000 1715854265.2493
MEM 391.750000 1715854265.3497
MEM 391.750000 1715854265.4502
MEM 391.750000 1715854265.5506
MEM 391.750000 1715854265.6510
MEM 391.750000 1715854265.7514
MEM 391.750000 1715854265.8526
MEM 391.750000 1715854265.9531
MEM 391.750000 1715854266.0540
MEM 391.750000 1715854266.1545
MEM 391.750000 1715854266.2550
MEM 391.750000 1715854266.3554
MEM 391.750000 1715854266.4558
MEM 391.750000 1715854266.5562
MEM 391.750000 1715854266.6566
MEM 391.750000 1715854266.7570
MEM 391.750000 1715854266.8574
MEM 391.750000 1715854266.9578
MEM 391.750000 1715854267.0583
MEM 391.750000 1715854267.1589
MEM 391.750000 1715854267.2592
MEM 391.750000 1715854267.3596
MEM 391.750000 1715854267.4601
MEM 391.750000 1715854267.5605
MEM 391.750000 1715854267.6609
MEM 391.750000 1715854267.7613
MEM 391.750000 1715854267.8617
MEM 391.750000 1715854267.9623
MEM 391.750000 1715854268.0627
MEM 391.750000 1715854268.1631
MEM 391.750000 1715854268.2635
MEM 391.750000 1715854268.3639
MEM 391.750000 1715854268.4644
MEM 391.750000 1715854268.5648
MEM 391.750000 1715854268.6652
MEM 391.750000 1715854268.7656
MEM 391.750000 1715854268.8695
MEM 391.750000 1715854268.9699
MEM 391.750000 1715854269.0703
MEM 391.750000 1715854269.1707
MEM 391.750000 1715854269.2712
MEM 391.750000 1715854269.3716
MEM 391.750000 1715854269.4720
MEM 391.750000 1715854269.5725
MEM 391.750000 1715854269.6744
MEM 391.750000 1715854269.7748
MEM 391.750000 1715854269.8752
MEM 391.750000 1715854269.9757
MEM 391.750000 1715854270.0761
MEM 391.750000 1715854270.1765
MEM 391.750000 1715854270.2769
MEM 391.750000 1715854270.3773
MEM 391.750000 1715854270.4778
MEM 391.750000 1715854270.5782
MEM 391.750000 1715854270.6786
