CMDLINE node nsquare.js
MEM 364.273438 1715854257.2530
MEM 364.273438 1715854257.3534
MEM 364.273438 1715854257.4538
MEM 364.273438 1715854257.5542
MEM 364.273438 1715854257.6546
MEM 364.273438 1715854257.7550
MEM 364.273438 1715854257.8554
MEM 364.273438 1715854257.9559
MEM 364.273438 1715854258.0563
MEM 364.273438 1715854258.1567
MEM 364.273438 1715854258.2571
MEM 364.273438 1715854258.3576
MEM 364.273438 1715854258.4580
MEM 364.273438 1715854258.5584
MEM 364.273438 1715854258.6588
MEM 364.273438 1715854258.7592
MEM 364.273438 1715854258.8596
MEM 364.273438 1715854258.9600
MEM 364.273438 1715854259.0604
MEM 364.273438 1715854259.1608
MEM 364.273438 1715854259.2611
MEM 364.273438 1715854259.3615
MEM 364.273438 1715854259.4619
MEM 364.273438 1715854259.5623
MEM 364.273438 1715854259.6626
MEM 364.273438 1715854259.7630
MEM 364.273438 1715854259.8634
MEM 364.273438 1715854259.9638
MEM 364.273438 1715854260.0642
MEM 364.273438 1715854260.1646
MEM 364.273438 1715854260.2650
MEM 364.273438 1715854260.3654
MEM 364.273438 1715854260.4658
MEM 364.273438 1715854260.5662
MEM 364.273438 1715854260.6666
MEM 364.273438 1715854260.7670
MEM 364.273438 1715854260.8674
MEM 364.273438 1715854260.9678
MEM 364.273438 1715854261.0681
MEM 364.273438 1715854261.1685
MEM 364.273438 1715854261.2689
MEM 364.273438 1715854261.3693
MEM 364.273438 1715854261.4697
MEM 364.273438 1715854261.5701
MEM 364.273438 1715854261.6704
MEM 364.273438 1715854261.7708
MEM 364.273438 1715854261.8712
MEM 364.273438 1715854261.9716
MEM 364.273438 1715854262.0721
MEM 364.273438 1715854262.1725
MEM 364.273438 1715854262.2756
MEM 364.273438 1715854262.3760
MEM 364.273438 1715854262.4765
MEM 364.273438 1715854262.5769
MEM 364.273438 1715854262.6773
MEM 364.273438 1715854262.7777
MEM 364.273438 1715854262.8781
MEM 364.273438 1715854262.9785
MEM 364.273438 1715854263.0790
MEM 364.273438 1715854263.1794
MEM 364.273438 1715854263.2799
MEM 364.273438 1715854263.3803
MEM 364.273438 1715854263.4807
MEM 364.273438 1715854263.5811
MEM 364.273438 1715854263.6816
MEM 364.273438 1715854263.7820
MEM 364.273438 1715854263.8824
MEM 364.273438 1715854263.9828
MEM 364.273438 1715854264.0832
MEM 364.273438 1715854264.1837
MEM 364.273438 1715854264.2841
MEM 364.273438 1715854264.3845
MEM 364.273438 1715854264.4850
MEM 364.273438 1715854264.5921
MEM 364.273438 1715854264.6926
MEM 364.273438 1715854264.7930
MEM 364.273438 1715854264.8935
MEM 364.273438 1715854264.9940
MEM 364.273438 1715854265.0953
MEM 364.273438 1715854265.1958
MEM 364.273438 1715854265.2963
MEM 364.273438 1715854265.3977
MEM 364.273438 1715854265.4982
MEM 364.273438 1715854265.5986
MEM 364.273438 1715854265.6991
MEM 364.273438 1715854265.7996
MEM 364.273438 1715854265.9001
MEM 364.273438 1715854266.0006
MEM 364.273438 1715854266.1010
MEM 364.273438 1715854266.2015
MEM 364.273438 1715854266.3019
MEM 364.273438 1715854266.4024
MEM 364.273438 1715854266.5028
MEM 364.273438 1715854266.6032
MEM 364.273438 1715854266.7036
MEM 364.273438 1715854266.8040
MEM 364.273438 1715854266.9048
MEM 364.273438 1715854267.0051
MEM 364.273438 1715854267.1055
MEM 364.273438 1715854267.2059
MEM 364.273438 1715854267.3064
MEM 364.273438 1715854267.4068
MEM 364.273438 1715854267.5072
MEM 364.273438 1715854267.6076
MEM 364.273438 1715854267.7080
MEM 364.273438 1715854267.8084
MEM 364.273438 1715854267.9088
MEM 364.273438 1715854268.0092
MEM 364.273438 1715854268.1096
MEM 364.273438 1715854268.2100
MEM 364.273438 1715854268.3104
MEM 364.273438 1715854268.4109
MEM 364.273438 1715854268.5113
MEM 364.273438 1715854268.6117
MEM 364.273438 1715854268.7121
MEM 364.273438 1715854268.8125
MEM 364.273438 1715854268.9128
MEM 364.273438 1715854269.0132
MEM 364.273438 1715854269.1136
MEM 364.273438 1715854269.2140
MEM 364.273438 1715854269.3144
MEM 364.273438 1715854269.4148
MEM 364.273438 1715854269.5151
MEM 364.273438 1715854269.6155
MEM 364.273438 1715854269.7159
MEM 364.273438 1715854269.8163
MEM 364.273438 1715854269.9167
MEM 364.273438 1715854270.0171
MEM 364.273438 1715854270.1175
MEM 364.273438 1715854270.2179
MEM 364.273438 1715854270.3183
MEM 364.273438 1715854270.4187
MEM 364.273438 1715854270.5191
MEM 364.273438 1715854270.6195
MEM 364.273438 1715854270.7199
MEM 364.273438 1715854270.8202
MEM 364.273438 1715854270.9206
MEM 364.273438 1715854271.0210
MEM 364.273438 1715854271.1214
MEM 364.273438 1715854271.2218
MEM 364.273438 1715854271.3223
MEM 364.273438 1715854271.4227
MEM 364.273438 1715854271.5231
MEM 364.273438 1715854271.6236
MEM 364.273438 1715854271.7240
MEM 364.273438 1715854271.8244
MEM 364.273438 1715854271.9248
MEM 364.273438 1715854272.0252
MEM 364.273438 1715854272.1256
MEM 364.273438 1715854272.2260
MEM 364.273438 1715854272.3264
MEM 364.273438 1715854272.4268
MEM 364.273438 1715854272.5272
MEM 364.273438 1715854272.6276
MEM 364.273438 1715854272.7280
MEM 364.273438 1715854272.8284
MEM 364.273438 1715854272.9288
MEM 364.273438 1715854273.0292
MEM 364.273438 1715854273.1297
MEM 364.273438 1715854273.2300
MEM 364.273438 1715854273.3304
MEM 364.273438 1715854273.4308
MEM 364.273438 1715854273.5312
MEM 364.273438 1715854273.6316
MEM 364.273438 1715854273.7320
MEM 364.273438 1715854273.8323
MEM 364.273438 1715854273.9327
MEM 364.273438 1715854274.0331
MEM 364.273438 1715854274.1335
MEM 364.273438 1715854274.2338
MEM 364.273438 1715854274.3342
MEM 364.273438 1715854274.4346
MEM 364.273438 1715854274.5350
MEM 364.273438 1715854274.6355
MEM 364.273438 1715854274.7359
MEM 364.273438 1715854274.8363
MEM 364.273438 1715854274.9367
MEM 364.273438 1715854275.0371
MEM 364.273438 1715854275.1375
MEM 364.273438 1715854275.2379
MEM 364.273438 1715854275.3383
MEM 364.273438 1715854275.4387
MEM 364.273438 1715854275.5391
MEM 364.273438 1715854275.6395
MEM 364.273438 1715854275.7399
MEM 364.273438 1715854275.8403
MEM 364.273438 1715854275.9407
MEM 364.273438 1715854276.0411
MEM 364.273438 1715854276.1415
MEM 364.273438 1715854276.2419
MEM 364.273438 1715854276.3423
MEM 364.273438 1715854276.4427
MEM 364.273438 1715854276.5431
MEM 364.273438 1715854276.6435
MEM 364.273438 1715854276.7439
MEM 364.273438 1715854276.8443
MEM 364.273438 1715854276.9447
MEM 364.273438 1715854277.0451
MEM 364.273438 1715854277.1454
MEM 364.273438 1715854277.2458
MEM 364.273438 1715854277.3462
MEM 364.273438 1715854277.4466
MEM 364.273438 1715854277.5470
MEM 364.273438 1715854277.6474
MEM 364.273438 1715854277.7478
MEM 364.273438 1715854277.8481
MEM 364.273438 1715854277.9485
MEM 364.273438 1715854278.0488
MEM 364.273438 1715854278.1492
MEM 364.273438 1715854278.2496
MEM 364.273438 1715854278.3500
MEM 364.273438 1715854278.4504
MEM 364.273438 1715854278.5507
MEM 364.273438 1715854278.6511
MEM 364.273438 1715854278.7515
MEM 364.273438 1715854278.8519
MEM 364.273438 1715854278.9522
MEM 364.273438 1715854279.0526
MEM 364.273438 1715854279.1530
MEM 364.273438 1715854279.2534
MEM 364.273438 1715854279.3538
MEM 364.273438 1715854279.4542
MEM 364.273438 1715854279.5546
MEM 364.273438 1715854279.6549
MEM 364.273438 1715854279.7553
MEM 364.273438 1715854279.8557
MEM 364.273438 1715854279.9561
MEM 364.273438 1715854280.0564
MEM 364.273438 1715854280.1568
MEM 364.273438 1715854280.2572
MEM 364.273438 1715854280.3575
MEM 364.273438 1715854280.4579
MEM 364.273438 1715854280.5583
MEM 364.273438 1715854280.6586
MEM 364.273438 1715854280.7590
MEM 364.273438 1715854280.8594
MEM 364.273438 1715854280.9598
MEM 364.273438 1715854281.0601
MEM 364.273438 1715854281.1604
MEM 364.273438 1715854281.2608
MEM 364.273438 1715854281.3612
MEM 364.273438 1715854281.4616
MEM 364.273438 1715854281.5619
MEM 364.273438 1715854281.6623
MEM 364.273438 1715854281.7627
MEM 364.273438 1715854281.8630
MEM 364.273438 1715854281.9634
MEM 364.273438 1715854282.0638
MEM 364.273438 1715854282.1641
MEM 364.273438 1715854282.2644
MEM 364.273438 1715854282.3648
MEM 364.273438 1715854282.4652
