CMDLINE ./nsquare
MEM 41.195312 1715854246.2667
MEM 41.195312 1715854246.3671
MEM 41.195312 1715854246.4675
MEM 41.195312 1715854246.5679
MEM 41.195312 1715854246.6682
MEM 41.195312 1715854246.7686
MEM 41.195312 1715854246.8690
MEM 41.195312 1715854246.9693
MEM 41.195312 1715854247.0697
MEM 41.195312 1715854247.1700
MEM 41.195312 1715854247.2704
MEM 41.195312 1715854247.3708
MEM 41.195312 1715854247.4711
MEM 41.195312 1715854247.5715
MEM 41.195312 1715854247.6719
MEM 41.195312 1715854247.7723
MEM 41.195312 1715854247.8726
MEM 41.195312 1715854247.9730
MEM 41.195312 1715854248.0734
MEM 41.195312 1715854248.1738
MEM 41.195312 1715854248.2742
MEM 41.195312 1715854248.3746
MEM 41.195312 1715854248.4750
MEM 41.195312 1715854248.5753
MEM 41.195312 1715854248.6757
MEM 41.195312 1715854248.7761
MEM 41.195312 1715854248.8764
MEM 41.195312 1715854248.9768
MEM 41.195312 1715854249.0772
MEM 41.195312 1715854249.1775
MEM 41.195312 1715854249.2779
MEM 41.195312 1715854249.3783
MEM 41.195312 1715854249.4787
MEM 41.195312 1715854249.5791
MEM 41.195312 1715854249.6794
MEM 41.195312 1715854249.7798
MEM 41.195312 1715854249.8802
MEM 41.195312 1715854249.9806
MEM 41.195312 1715854250.0810
MEM 41.195312 1715854250.1814
MEM 41.195312 1715854250.2818
MEM 41.195312 1715854250.3821
MEM 41.195312 1715854250.4825
MEM 41.195312 1715854250.5829
MEM 41.195312 1715854250.6833
MEM 41.195312 1715854250.7837
MEM 41.195312 1715854250.8841
MEM 41.195312 1715854250.9845
MEM 41.195312 1715854251.0848
MEM 41.195312 1715854251.1852
MEM 41.195312 1715854251.2856
MEM 41.195312 1715854251.3860
MEM 41.195312 1715854251.4864
MEM 41.195312 1715854251.5868
MEM 41.195312 1715854251.6871
MEM 41.195312 1715854251.7875
MEM 41.195312 1715854251.8879
MEM 41.195312 1715854251.9883
MEM 41.195312 1715854252.0887
MEM 41.195312 1715854252.1892
MEM 41.195312 1715854252.2896
MEM 41.195312 1715854252.3900
MEM 41.195312 1715854252.4904
MEM 41.195312 1715854252.5908
MEM 41.195312 1715854252.6913
MEM 41.195312 1715854252.7917
MEM 41.195312 1715854252.8921
MEM 41.195312 1715854252.9926
MEM 41.195312 1715854253.0930
MEM 41.195312 1715854253.1934
MEM 41.195312 1715854253.2939
MEM 41.195312 1715854253.3943
MEM 41.195312 1715854253.4947
MEM 41.195312 1715854253.5951
MEM 41.195312 1715854253.6955
MEM 41.195312 1715854253.7959
MEM 41.195312 1715854253.8963
MEM 41.195312 1715854253.9968
MEM 41.195312 1715854254.0972
MEM 41.195312 1715854254.1976
MEM 41.195312 1715854254.2980
MEM 41.195312 1715854254.3984
MEM 41.195312 1715854254.4988
MEM 41.195312 1715854254.5992
MEM 41.195312 1715854254.6996
MEM 41.195312 1715854254.8000
MEM 41.195312 1715854254.9004
MEM 41.195312 1715854255.0008
MEM 41.195312 1715854255.1013
MEM 41.195312 1715854255.2018
MEM 41.195312 1715854255.3022
MEM 41.195312 1715854255.4026
MEM 41.195312 1715854255.5030
MEM 41.195312 1715854255.6034
MEM 41.195312 1715854255.7038
MEM 41.195312 1715854255.8042
MEM 41.195312 1715854255.9046
MEM 41.195312 1715854256.0050
MEM 41.195312 1715854256.1054
MEM 41.195312 1715854256.2058
MEM 41.195312 1715854256.3062
MEM 41.195312 1715854256.4066
MEM 41.195312 1715854256.5071
MEM 41.195312 1715854256.6075
MEM 41.195312 1715854256.7079
MEM 41.195312 1715854256.8083
MEM 41.195312 1715854256.9087
MEM 41.195312 1715854257.0091
MEM 41.195312 1715854257.1094
MEM 41.195312 1715854257.2098
MEM 41.195312 1715854257.3103
MEM 41.195312 1715854257.4107
MEM 41.195312 1715854257.5111
MEM 41.195312 1715854257.6115
MEM 41.195312 1715854257.7119
MEM 41.195312 1715854257.8124
MEM 41.195312 1715854257.9128
MEM 41.195312 1715854258.0132
MEM 41.195312 1715854258.1137
MEM 41.195312 1715854258.2141
MEM 41.195312 1715854258.3145
MEM 41.195312 1715854258.4149
MEM 41.195312 1715854258.5153
MEM 41.195312 1715854258.6157
MEM 41.195312 1715854258.7161
MEM 41.195312 1715854258.8165
MEM 41.195312 1715854258.9169
MEM 41.195312 1715854259.0173
MEM 41.195312 1715854259.1177
MEM 41.195312 1715854259.2181
MEM 41.195312 1715854259.3185
MEM 41.195312 1715854259.4189
MEM 41.195312 1715854259.5193
MEM 41.195312 1715854259.6197
MEM 41.195312 1715854259.7201
MEM 41.195312 1715854259.8205
MEM 41.195312 1715854259.9209
MEM 41.195312 1715854260.0213
MEM 41.195312 1715854260.1217
MEM 41.195312 1715854260.2221
MEM 41.195312 1715854260.3226
MEM 41.195312 1715854260.4230
MEM 41.195312 1715854260.5234
MEM 41.195312 1715854260.6239
MEM 41.195312 1715854260.7243
MEM 41.195312 1715854260.8246
MEM 41.195312 1715854260.9250
MEM 41.195312 1715854261.0253
MEM 41.195312 1715854261.1257
MEM 41.195312 1715854261.2261
MEM 41.195312 1715854261.3264
MEM 41.195312 1715854261.4267
MEM 41.195312 1715854261.5271
MEM 41.195312 1715854261.6275
MEM 41.195312 1715854261.7279
MEM 41.195312 1715854261.8283
